,id,user_edad,car_marca,car_modelo,car_tipo,car_kilometraje,car_transmision,car_plataforma,deduccion_deduccion_kilometraje,deduccion_tipo_vehiculo,deduccion_mecanica,deduccion_carroceria,deduccion_suspension,deduccion_neumaticos,deduccion_cristales,deduccion_tenencias,deduccion_infracciones,deduccion_propietario,deduccion_extemporanea,deduccion_totalDescuentos,ajuste_monto_solicitado_cliente,ajuste_precio_guia_autometrica,ajuste_valor_avaluo,ajuste_tipo_vehiculo,ajuste_avaluo_km,ajuste_avaluo_ajustado,ajuste_avaluo_tipo_vehiculo,ajuste_multas,ajuste_tramites,ajuste_averia_estetica_mecanica,ajuste_monto_prestar,ajuste_margen_favor
83,177,33.90337586151911,Jeep,2023,Grand Cherokee 2023 versión Summit 4x4 5.7L V8,12000,automatica,no,0.0,0,,,0,,,,,,,0,1,1277500,894250,,0,894250,0,0,0,0,894250,894249
84,178,28.977613787251897,Nissan,2020,NISSAN VERSA PLATINUM,57200,automatica,no,0.0,0,,,0,,,,,,,0,1,240100,168070,,0,168070,0,0,0,0,168070,168069
85,179,25.45203744017945,Chevrolet,2017,Chevrolet Sonic LT,121000,manual,si,7.9,42,,,0,,,,,,,0,1,148400,103880,,11723,48528,43629,0,0,0,48528,48527
86,180,32.07625053164986,Honda,2018,HONDA CITY STD,111616,manual,no,8.1,0,,,0,,,,,,,0,1,191700,134190,,15527,118663,0,0,0,0,118663,118662
87,181,27.20490881294923,Renault,2015,Renault Logan expression,117777,manual,no,0.0,49,,,0,,,,,,,0,1,105600,73920,,0,37700,36220,0,0,0,37700,37699
88,182,27.110164127916313,Renault,2015,Renault Logan expression,117777,manual,no,0.0,49,,,0,,,,,,,0,1,105600,73920,,0,37700,36220,0,0,0,37700,37699
89,183,30.6804447121053,Nissan,2015,nissan march sense TM,42000,manual,no,0.0,0,,,0,,,,,,,0,62300,115400,80780,,0,80780,0,0,0,0,80780,18480
90,184,26.128711854216036,Kia,2017,KIA SOUL LX TA 1.6L 5P,142800,automatica,no,21.0,0,,,0,,,,,,,0,1,163400,114380,,34314,80066,0,0,0,0,80066,80065
91,185,29.076088986352914,Mazda,2017,Mazda 3,117636,manual,no,6.6,0,,,0,,,,,,,0,1,200000,140000,,13200,126800,0,0,0,0,126800,126799
92,186,25.770684385570622,Nissan,2023,NISSAN SENTRA SENSE TM,1020,manual,no,0.0,0,,,0,,,,,,,0,1,279100,195370,,0,195370,0,0,0,0,195370,195369
93,187,32.77907109785108,Suzuki,2013,"Suzuki, swift, gls standard 5 pts,",141323,manual,no,0.0,0,,,0,,,,,,,0,1,111500,78050,,0,78050,0,0,0,0,78050,78049
94,188,32.437671383929526,Hyundai,2018,HYUNDAI ELANTRA 4P LIMITED TECH,68000,manual,no,0.0,0,,,0,,,,,,,0,1,260800,182560,,0,182560,0,0,0,0,182560,182559
95,189,31.330328347415264,Chevrolet,2016,Chevrolet Spark  clasic lt 1.2 Básico,153487,manual,si,13.8,42,,,0,,,,,,,0,1,96900,67830,,13372,25970,28488,0,0,0,25970,25969
96,190,34.42381025102299,Chevrolet,2015,CHEVROLET CAVALIER TM 1.5L,194918,manual,si,21.0,42,,,0,,,,,,,0,1,166400,116479,,34944,32614,48921,0,0,0,32614,32613
97,191,38.0,Chevrolet,2016,Chevrolet Aveo Versión LT,172156,manual,no,21.0,0,0.0,6000.0,0,0.0,0.0,5729.0,4320.0,0.0,2075.0,18124,1,111100,77770,,23331,54439,0,12124,0,6000,36315,36314
98,192,31.932267243113024,Volkswagen,2012,JETTA CLASICO TEAM,90000,manual,no,0.0,0,,,0,,,,,,,0,1,99900,69930,,0,69930,0,0,0,0,69930,69929
99,193,33.42519750176757,Dodge,2012,Dodge  avenger  sxt,107000,automatica,no,0.0,0,,,0,,,,,,,0,1,100800,70560,,0,70560,0,0,0,0,70560,70559
100,194,34.85071014850722,Dodge,2012,Dodge  avenger  sxt,107000,automatica,no,0.0,0,,,0,,,,,,,0,1,100800,70560,,0,70560,0,0,0,0,70560,70559
101,195,34.04174991424753,Kia,2019,KIA SOUL EX TA 5P,74000,automatica,no,0.0,0,,,0,,,,,,,0,1,236500,165550,,0,165550,0,0,0,0,165550,165549
102,196,32.926274461932024,Chrysler,2018,Fiat mobi Versión way,130000,manual,no,21.0,0,,,0,,,,,,,0,1,127100,88970,,26691,62279,0,0,0,0,62279,62278
103,197,57.0,Jeep,2013,JEEP LIBERTY SPORT 4X2,143748,automatica,no,0.0,0,0.0,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3000,1,154700,108290,,0,108290,0,0,0,3000,105290,105289
104,198,33.03168387598584,Chevrolet,2020,CHEVROLET BEAT RALUMINIO F NIEBLA ELECTRICO,53432,manual,no,0.0,0,,,0,,,,,,,0,1,131498,92048,,0,92048,0,0,0,0,92048,92047
105,199,31.391591748303366,Volkswagen,2017,VOLKSWAGEN VENTO,145395,manual,no,21.0,0,,,0,,,,,,,0,1,137100,95970,,28791,67179,0,0,0,0,67179,67178
106,200,28.363323241424624,Chevrolet,2020,CHEVROLET SPARK LT,97000,manual,no,21.0,0,,,0,,,,,,,0,1,175800,123059,,36918,86141,0,0,0,0,86141,86140
107,201,27.834152651688562,Mazda,2017,Mazda 3,117363,automatica,no,6.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,17500.0,0.0,17500,1,500000,350000,,32500,317500,0,0,17500,0,300000,299999
